16,30,35,36,51,61,62,64,76,keyword,alls,binary,value
11,0,1,0,0,0,0,0,0,처방,12,2.0,48.0
3,0,3,0,0,0,0,0,0,비급,6,2.0,24.0
2,0,3,0,0,0,0,0,0,갑,5,2.0,20.0
0,0,0,0,2,2,0,0,0,용서,4,2.0,16.0
0,0,0,0,0,2,0,1,0,임무,3,2.0,12.0
0,0,2,0,0,1,0,0,0,번영,3,2.0,12.0
1,0,0,0,0,0,0,0,2,사후,3,2.0,12.0
0,0,0,0,1,2,0,0,0,지방선거,3,2.0,12.0
2,0,1,0,0,0,0,0,0,띠,3,2.0,12.0
0,0,0,1,2,0,0,0,0,지난주,3,2.0,12.0
0,0,0,0,2,0,1,0,0,노래,3,2.0,12.0
0,0,0,0,0,12,0,0,0,최대호,12,1.0,12.0
0,0,0,0,0,2,0,1,0,무력,3,2.0,12.0
12,0,0,0,0,0,0,0,0,심평원,12,1.0,12.0
11,0,0,0,0,0,0,0,0,청원경찰,11,1.0,11.0
0,0,10,0,0,0,0,0,0,안정국,10,1.0,10.0
0,0,9,0,0,0,0,0,0,평준화,9,1.0,9.0
0,0,1,0,0,0,0,1,0,일감,2,2.0,8.0
1,0,0,0,0,1,0,0,0,실장,2,2.0,8.0
0,0,0,1,0,1,0,0,0,필,2,2.0,8.0
0,0,1,0,0,0,0,1,0,희생양,2,2.0,8.0
1,0,1,0,0,0,0,0,0,나름,2,2.0,8.0
0,0,0,0,1,0,0,1,0,대적,2,2.0,8.0
1,0,0,0,0,0,0,0,1,예약,2,2.0,8.0
1,0,0,1,0,0,0,0,0,감기,2,2.0,8.0
0,0,0,1,0,0,0,1,0,심정지,2,2.0,8.0
0,0,1,1,0,0,0,0,0,법칙,2,2.0,8.0
0,0,0,0,0,1,0,1,0,정당성,2,2.0,8.0
1,0,0,0,0,0,0,0,1,막상,2,2.0,8.0
8,0,0,0,0,0,0,0,0,계급,8,1.0,8.0
8,0,0,0,0,0,0,0,0,학제,8,1.0,8.0
0,0,0,0,0,0,0,8,0,뭉개,8,1.0,8.0
0,0,0,0,0,7,0,0,0,소취하,7,1.0,7.0
0,0,0,7,0,0,0,0,0,경련,7,1.0,7.0
0,0,0,0,0,7,0,0,0,안양시장,7,1.0,7.0
0,0,0,0,6,0,0,0,0,레인보우,6,1.0,6.0
6,0,0,0,0,0,0,0,0,간소화,6,1.0,6.0
0,0,0,0,6,0,0,0,0,합창단,6,1.0,6.0
0,0,0,0,0,0,0,0,5,이단,5,1.0,5.0
5,0,0,0,0,0,0,0,0,주선,5,1.0,5.0
0,0,0,5,0,0,0,0,0,방산,5,1.0,5.0
5,0,0,0,0,0,0,0,0,순경,5,1.0,5.0
0,0,5,0,0,0,0,0,0,광,5,1.0,5.0
0,0,0,0,0,0,0,4,0,감자탕,4,1.0,4.0
0,0,0,0,0,0,4,0,0,욱일기,4,1.0,4.0
0,0,4,0,0,0,0,0,0,의학,4,1.0,4.0
4,0,0,0,0,0,0,0,0,경정,4,1.0,4.0
0,0,0,0,0,3,0,0,0,측근,3,1.0,3.0
3,0,0,0,0,0,0,0,0,오프,3,1.0,3.0
0,0,0,0,3,0,0,0,0,참전,3,1.0,3.0
0,0,0,0,0,0,3,0,0,공연음란죄,3,1.0,3.0
0,0,3,0,0,0,0,0,0,상가,3,1.0,3.0
3,0,0,0,0,0,0,0,0,라벨,3,1.0,3.0
3,0,0,0,0,0,0,0,0,멸시,3,1.0,3.0
0,0,0,0,0,0,0,3,0,라텍스,3,1.0,3.0
0,0,3,0,0,0,0,0,0,통영시,3,1.0,3.0
0,0,0,0,0,0,0,3,0,베테,3,1.0,3.0
0,0,3,0,0,0,0,0,0,조선해,3,1.0,3.0
3,0,0,0,0,0,0,0,0,실비,3,1.0,3.0
0,0,0,0,0,0,0,3,0,뼈,3,1.0,3.0
0,0,0,0,0,0,3,0,0,랜드,3,1.0,3.0
3,0,0,0,0,0,0,0,0,빈,3,1.0,3.0
0,0,0,0,0,0,0,3,0,렉카,3,1.0,3.0
0,0,0,0,0,0,3,0,0,춤,3,1.0,3.0
0,0,3,0,0,0,0,0,0,호황,3,1.0,3.0
0,0,0,0,0,3,0,0,0,죗값,3,1.0,3.0
0,0,3,0,0,0,0,0,0,광일고,3,1.0,3.0
0,0,0,0,0,0,0,0,3,조성자,3,1.0,3.0
0,0,0,0,0,3,0,0,0,역임,3,1.0,3.0
0,0,0,3,0,0,0,0,0,환,3,1.0,3.0
0,0,0,0,0,0,0,0,2,신도,2,1.0,2.0
0,0,0,0,0,2,0,0,0,해산,2,1.0,2.0
0,0,2,0,0,0,0,0,0,휘,2,1.0,2.0
0,0,0,0,0,0,0,2,0,자택,2,1.0,2.0
2,0,0,0,0,0,0,0,0,신중,2,1.0,2.0
2,0,0,0,0,0,0,0,0,말기,2,1.0,2.0
