16,35,36,keyword,alls,binary,value
11,1,0,처방,12,2.0,48.0
3,3,0,비급,6,2.0,24.0
2,3,0,갑,5,2.0,20.0
12,0,0,심평원,12,1.0,12.0
2,1,0,띠,3,2.0,12.0
11,0,0,청원경찰,11,1.0,11.0
0,10,0,안정국,10,1.0,10.0
0,9,0,평준화,9,1.0,9.0
8,0,0,계급,8,1.0,8.0
8,0,0,학제,8,1.0,8.0
1,1,0,나름,2,2.0,8.0
1,0,1,감기,2,2.0,8.0
0,1,1,법칙,2,2.0,8.0
0,0,7,경련,7,1.0,7.0
6,0,0,간소화,6,1.0,6.0
0,0,5,방산,5,1.0,5.0
5,0,0,순경,5,1.0,5.0
0,5,0,광,5,1.0,5.0
5,0,0,주선,5,1.0,5.0
0,4,0,의학,4,1.0,4.0
4,0,0,경정,4,1.0,4.0
3,0,0,오프,3,1.0,3.0
3,0,0,멸시,3,1.0,3.0
0,3,0,광일고,3,1.0,3.0
3,0,0,라벨,3,1.0,3.0
0,0,3,환,3,1.0,3.0
3,0,0,빈,3,1.0,3.0
3,0,0,실비,3,1.0,3.0
0,3,0,조선해,3,1.0,3.0
0,3,0,상가,3,1.0,3.0
0,3,0,호황,3,1.0,3.0
0,3,0,통영시,3,1.0,3.0
2,0,0,비소,2,1.0,2.0
0,2,0,휘,2,1.0,2.0
2,0,0,신중,2,1.0,2.0
2,0,0,말기,2,1.0,2.0
2,0,0,금기,2,1.0,2.0
2,0,0,원상회복,2,1.0,2.0
0,2,0,계고,2,1.0,2.0
2,0,0,운송업,2,1.0,2.0
0,2,0,면담,2,1.0,2.0
2,0,0,구실,2,1.0,2.0
0,0,2,다이소,2,1.0,2.0
0,2,0,장휘국,2,1.0,2.0
2,0,0,할증,2,1.0,2.0
2,0,0,컬,2,1.0,2.0
2,0,0,콜사,2,1.0,2.0
0,2,0,패악,2,1.0,2.0
0,0,2,비열,2,1.0,2.0
2,0,0,발송,2,1.0,2.0
2,0,0,경장,2,1.0,2.0
0,0,2,뇌전증,2,1.0,2.0
0,0,2,목동,2,1.0,2.0
2,0,0,케,2,1.0,2.0
0,2,0,운반,2,1.0,2.0
2,0,0,경사,2,1.0,2.0
0,2,0,보탬,2,1.0,2.0
2,0,0,여로,2,1.0,2.0
2,0,0,곰,2,1.0,2.0
2,0,0,용달,2,1.0,2.0
0,0,2,기각,2,1.0,2.0
0,2,0,구조조정,2,1.0,2.0
2,0,0,재주,2,1.0,2.0
0,0,1,고식,1,1.0,1.0
0,0,1,소아마비,1,1.0,1.0
0,0,1,이익단체,1,1.0,1.0
0,1,0,탱커,1,1.0,1.0
1,0,0,비른,1,1.0,1.0
1,0,0,차후,1,1.0,1.0
1,0,0,저가,1,1.0,1.0
0,0,1,향유,1,1.0,1.0
0,1,0,교인,1,1.0,1.0
0,1,0,오늘날,1,1.0,1.0
0,1,0,실리,1,1.0,1.0
0,1,0,가난,1,1.0,1.0
0,1,0,통곡,1,1.0,1.0
0,1,0,학부,1,1.0,1.0
0,1,0,남구,1,1.0,1.0
1,0,0,도시락,1,1.0,1.0
1,0,0,달후,1,1.0,1.0
0,1,0,그리스,1,1.0,1.0
0,1,0,다섯,1,1.0,1.0
0,1,0,통영,1,1.0,1.0
0,0,1,치킨게임,1,1.0,1.0
0,1,0,일터,1,1.0,1.0
0,0,1,천사,1,1.0,1.0
0,1,0,편견,1,1.0,1.0
0,0,1,개월때,1,1.0,1.0
0,1,0,채권,1,1.0,1.0
0,1,0,발자국,1,1.0,1.0
1,0,0,사견,1,1.0,1.0
0,1,0,북구,1,1.0,1.0
0,1,0,굴,1,1.0,1.0
0,1,0,절절,1,1.0,1.0
1,0,0,제적,1,1.0,1.0
1,0,0,대학교수,1,1.0,1.0
0,1,0,이르렀으,1,1.0,1.0
0,1,0,감실,1,1.0,1.0
0,0,1,순리,1,1.0,1.0
0,1,0,빛고을,1,1.0,1.0
1,0,0,제도로,1,1.0,1.0
0,0,1,축농증,1,1.0,1.0
1,0,0,세포독성,1,1.0,1.0
0,0,1,막무가내,1,1.0,1.0
0,1,0,공함,1,1.0,1.0
1,0,0,전적,1,1.0,1.0
0,0,1,막강,1,1.0,1.0
0,1,0,상주,1,1.0,1.0
0,0,1,디,1,1.0,1.0
0,1,0,활,1,1.0,1.0
1,0,0,보름,1,1.0,1.0
0,1,0,파고,1,1.0,1.0
1,0,0,개차반,1,1.0,1.0
0,0,1,난립,1,1.0,1.0
0,0,1,꼭좀,1,1.0,1.0
0,1,0,노하우,1,1.0,1.0
0,0,1,필름,1,1.0,1.0
0,1,0,악순환,1,1.0,1.0
0,1,0,장덕,1,1.0,1.0
0,1,0,잔칫상,1,1.0,1.0
0,1,0,교통신호,1,1.0,1.0
0,0,1,금요일,1,1.0,1.0
0,0,1,이나고,1,1.0,1.0
0,1,0,돌다리,1,1.0,1.0
0,1,0,급감,1,1.0,1.0
0,1,0,약육강식,1,1.0,1.0
0,1,0,타당,1,1.0,1.0
1,0,0,사무소,1,1.0,1.0
0,0,1,자연도태,1,1.0,1.0
0,0,1,수액,1,1.0,1.0
0,0,1,잠복,1,1.0,1.0
0,1,0,신입생,1,1.0,1.0
0,1,0,회복기,1,1.0,1.0
1,0,0,자금난,1,1.0,1.0
0,0,1,예방접종,1,1.0,1.0
1,0,0,콜로,1,1.0,1.0
0,0,1,일상생활,1,1.0,1.0
0,1,0,나주,1,1.0,1.0
0,1,0,선등,1,1.0,1.0
1,0,0,환불,1,1.0,1.0
0,1,0,광산구,1,1.0,1.0
0,0,1,과대,1,1.0,1.0
1,0,0,노가다,1,1.0,1.0
0,1,0,놀음,1,1.0,1.0
1,0,0,비현실적,1,1.0,1.0
0,0,1,폐악,1,1.0,1.0
1,0,0,말리,1,1.0,1.0
0,1,0,기간산업,1,1.0,1.0
1,0,0,프로토콜,1,1.0,1.0
1,0,0,타박,1,1.0,1.0
1,0,0,구한,1,1.0,1.0
0,1,0,민초,1,1.0,1.0
1,0,0,최신,1,1.0,1.0
0,1,0,배짱,1,1.0,1.0
1,0,0,악질,1,1.0,1.0
0,1,0,피폐,1,1.0,1.0
0,1,0,극,1,1.0,1.0
1,0,0,제약회사,1,1.0,1.0
1,0,0,재발,1,1.0,1.0
0,1,0,간편,1,1.0,1.0
0,0,1,생사,1,1.0,1.0
0,1,0,납부,1,1.0,1.0
1,0,0,일쑤,1,1.0,1.0
1,0,0,이병일,1,1.0,1.0
0,0,1,이의신청,1,1.0,1.0
0,0,1,팔다리,1,1.0,1.0
0,1,0,과시,1,1.0,1.0
0,1,0,교육법,1,1.0,1.0
0,1,0,위시,1,1.0,1.0
0,1,0,어깨,1,1.0,1.0
0,1,0,전교조,1,1.0,1.0
1,0,0,면직,1,1.0,1.0
1,0,0,지견,1,1.0,1.0
0,0,1,도태,1,1.0,1.0
0,1,0,보람,1,1.0,1.0
0,0,1,원점,1,1.0,1.0
0,0,1,경직,1,1.0,1.0
1,0,0,호스피스,1,1.0,1.0
0,1,0,중대,1,1.0,1.0
1,0,0,현찰,1,1.0,1.0
0,1,0,성동,1,1.0,1.0
0,1,0,협상,1,1.0,1.0
1,0,0,한수,1,1.0,1.0
0,1,0,민낯,1,1.0,1.0
0,0,1,정파,1,1.0,1.0
0,1,0,강국,1,1.0,1.0
1,0,0,모른체,1,1.0,1.0
0,1,0,크시,1,1.0,1.0
0,1,0,대승,1,1.0,1.0
0,1,0,지금껏,1,1.0,1.0
0,0,1,접종,1,1.0,1.0
1,0,0,전정긍긍,1,1.0,1.0
0,1,0,일원화,1,1.0,1.0
0,1,0,회의실,1,1.0,1.0
0,0,1,사브,1,1.0,1.0
0,1,0,야생,1,1.0,1.0
1,0,0,전라도,1,1.0,1.0
0,1,0,클락,1,1.0,1.0
1,0,0,가령,1,1.0,1.0
0,1,0,벌크선,1,1.0,1.0
1,0,0,전전긍긍,1,1.0,1.0
0,1,0,조선소,1,1.0,1.0
1,0,0,이일,1,1.0,1.0
1,0,0,놀란,1,1.0,1.0
0,0,1,릴,1,1.0,1.0
1,0,0,희귀암,1,1.0,1.0
0,1,0,폐허,1,1.0,1.0
0,1,0,성덕고,1,1.0,1.0
0,0,1,약화,1,1.0,1.0
0,1,0,원유,1,1.0,1.0
0,0,1,티피,1,1.0,1.0
0,1,0,푹,1,1.0,1.0
0,1,0,한참,1,1.0,1.0
0,0,1,아성,1,1.0,1.0
0,1,0,슨,1,1.0,1.0
0,1,0,유명,1,1.0,1.0
1,0,0,환수,1,1.0,1.0
0,0,1,레이,1,1.0,1.0
0,1,0,풍문,1,1.0,1.0
1,0,0,전재희,1,1.0,1.0
0,1,0,견적,1,1.0,1.0
