35,keyword,alls,binary,value
10,안정국,10,1.0,10.0
9,평준화,9,1.0,9.0
5,광,5,1.0,5.0
4,의학,4,1.0,4.0
3,상가,3,1.0,3.0
3,통영시,3,1.0,3.0
3,조선해,3,1.0,3.0
3,호황,3,1.0,3.0
3,광일고,3,1.0,3.0
2,계고,2,1.0,2.0
2,장휘국,2,1.0,2.0
2,면담,2,1.0,2.0
2,휘,2,1.0,2.0
2,패악,2,1.0,2.0
2,구조조정,2,1.0,2.0
2,운반,2,1.0,2.0
2,보탬,2,1.0,2.0
1,일터,1,1.0,1.0
1,남구,1,1.0,1.0
1,학부,1,1.0,1.0
1,통곡,1,1.0,1.0
1,가난,1,1.0,1.0
1,실리,1,1.0,1.0
1,오늘날,1,1.0,1.0
1,탱커,1,1.0,1.0
1,다섯,1,1.0,1.0
1,북구,1,1.0,1.0
1,빛고을,1,1.0,1.0
1,통영,1,1.0,1.0
1,감실,1,1.0,1.0
1,이르렀으,1,1.0,1.0
1,절절,1,1.0,1.0
1,굴,1,1.0,1.0
1,그리스,1,1.0,1.0
1,발자국,1,1.0,1.0
1,교인,1,1.0,1.0
1,놀음,1,1.0,1.0
1,공함,1,1.0,1.0
1,노하우,1,1.0,1.0
1,돌다리,1,1.0,1.0
1,교통신호,1,1.0,1.0
1,잔칫상,1,1.0,1.0
1,장덕,1,1.0,1.0
1,악순환,1,1.0,1.0
1,파고,1,1.0,1.0
1,활,1,1.0,1.0
1,상주,1,1.0,1.0
1,급감,1,1.0,1.0
1,약육강식,1,1.0,1.0
1,타당,1,1.0,1.0
1,편견,1,1.0,1.0
1,광산구,1,1.0,1.0
1,선등,1,1.0,1.0
1,나주,1,1.0,1.0
1,회복기,1,1.0,1.0
1,신입생,1,1.0,1.0
1,채권,1,1.0,1.0
1,야생,1,1.0,1.0
1,기간산업,1,1.0,1.0
1,지금껏,1,1.0,1.0
1,크시,1,1.0,1.0
1,납부,1,1.0,1.0
1,간편,1,1.0,1.0
1,극,1,1.0,1.0
1,피폐,1,1.0,1.0
1,배짱,1,1.0,1.0
1,민초,1,1.0,1.0
1,과시,1,1.0,1.0
1,교육법,1,1.0,1.0
1,어깨,1,1.0,1.0
1,강국,1,1.0,1.0
1,민낯,1,1.0,1.0
1,협상,1,1.0,1.0
1,성동,1,1.0,1.0
1,중대,1,1.0,1.0
1,보람,1,1.0,1.0
1,전교조,1,1.0,1.0
1,위시,1,1.0,1.0
1,대승,1,1.0,1.0
1,한참,1,1.0,1.0
1,원유,1,1.0,1.0
1,성덕고,1,1.0,1.0
1,폐허,1,1.0,1.0
1,조선소,1,1.0,1.0
1,벌크선,1,1.0,1.0
1,클락,1,1.0,1.0
1,회의실,1,1.0,1.0
1,일원화,1,1.0,1.0
1,푹,1,1.0,1.0
1,슨,1,1.0,1.0
1,등하교,1,1.0,1.0
1,단내,1,1.0,1.0
1,답사,1,1.0,1.0
1,활기,1,1.0,1.0
1,견적,1,1.0,1.0
1,풍문,1,1.0,1.0
1,유명,1,1.0,1.0
1,군림합,1,1.0,1.0
