21,40,50,56,70,71,keyword,alls,binary,value
0,0,2,0,2,1,근로기준법,5,3.0,45.0
0,0,0,0,6,2,낮잠,8,2.0,32.0
0,0,0,1,4,0,결제,5,2.0,20.0
0,0,0,0,3,1,오라,4,2.0,16.0
0,0,0,0,14,0,녹취록,14,1.0,14.0
0,11,0,0,0,0,쌀,11,1.0,11.0
0,0,10,0,0,0,함평,10,1.0,10.0
0,0,10,0,0,0,식사동,10,1.0,10.0
0,1,1,0,0,0,작고,2,2.0,8.0
0,8,0,0,0,0,농사,8,1.0,8.0
0,1,0,1,0,0,주식시장,2,2.0,8.0
0,1,1,0,0,0,집의,2,2.0,8.0
0,0,7,0,0,0,장만채,7,1.0,7.0
0,0,0,0,7,0,무혐의,7,1.0,7.0
0,0,0,0,7,0,복지부,7,1.0,7.0
0,6,0,0,0,0,벼농사,6,1.0,6.0
0,0,6,0,0,0,북부,6,1.0,6.0
0,0,0,0,6,0,출제,6,1.0,6.0
0,0,0,0,6,0,수면,6,1.0,6.0
0,0,6,0,0,0,여고,6,1.0,6.0
0,0,5,0,0,0,마케팅,5,1.0,5.0
0,0,5,0,0,0,태경,5,1.0,5.0
0,0,0,0,0,5,애완,5,1.0,5.0
0,0,0,0,5,0,벡터,5,1.0,5.0
0,0,5,0,0,0,풍동,5,1.0,5.0
0,0,5,0,0,0,관산동,5,1.0,5.0
0,0,0,0,5,0,옆방,5,1.0,5.0
0,5,0,0,0,0,재배,5,1.0,5.0
0,5,0,0,0,0,벼,5,1.0,5.0
0,0,4,0,0,0,함평군,4,1.0,4.0
0,0,0,0,4,0,미적분,4,1.0,4.0
0,0,0,0,4,0,성관계,4,1.0,4.0
0,0,4,0,0,0,일산,4,1.0,4.0
0,4,0,0,0,0,가상화,4,1.0,4.0
0,0,4,0,0,0,대곡,4,1.0,4.0
0,0,0,0,4,0,공갈,4,1.0,4.0
0,0,0,0,4,0,사타구니,4,1.0,4.0
0,0,4,0,0,0,통일로,4,1.0,4.0
0,0,0,4,0,0,전명규,4,1.0,4.0
0,0,4,0,0,0,고양동,4,1.0,4.0
0,0,4,0,0,0,패럴림픽,4,1.0,4.0
0,0,0,0,3,0,준강제추행,3,1.0,3.0
0,0,0,0,0,3,파충류,3,1.0,3.0
0,0,3,0,0,0,백마역,3,1.0,3.0
0,0,3,0,0,0,고양시,3,1.0,3.0
0,0,0,3,0,0,주주명부,3,1.0,3.0
0,0,0,0,3,0,제모,3,1.0,3.0
0,3,0,0,0,0,농민,3,1.0,3.0
0,0,0,0,3,0,내야,3,1.0,3.0
0,0,0,0,3,0,가명,3,1.0,3.0
0,0,3,0,0,0,의정부,3,1.0,3.0
0,0,0,0,3,0,실밥,3,1.0,3.0
0,0,3,0,0,0,원룸,3,1.0,3.0
0,3,0,0,0,0,강동,3,1.0,3.0
0,0,0,0,3,0,산부인과,3,1.0,3.0
0,3,0,0,0,0,당,3,1.0,3.0
0,0,0,0,3,0,체형,3,1.0,3.0
0,0,0,0,3,0,고급,3,1.0,3.0
0,0,0,0,0,3,독사,3,1.0,3.0
0,0,3,0,0,0,월세,3,1.0,3.0
0,0,3,0,0,0,사선,3,1.0,3.0
0,0,0,0,3,0,의견서,3,1.0,3.0
0,0,0,0,3,0,성형,3,1.0,3.0
0,0,3,0,0,0,수간,3,1.0,3.0
0,0,0,0,3,0,미수,3,1.0,3.0
0,0,0,0,3,0,나로,3,1.0,3.0
0,0,0,0,3,0,녹음기,3,1.0,3.0
0,0,0,3,0,0,한체대,3,1.0,3.0
0,3,0,0,0,0,비량,3,1.0,3.0
0,0,0,0,3,0,체위,3,1.0,3.0
0,2,0,0,0,0,미세,2,1.0,2.0
0,2,0,0,0,0,콩,2,1.0,2.0
0,0,0,0,2,0,바르게,2,1.0,2.0
0,0,0,0,2,0,인멸,2,1.0,2.0
0,2,0,0,0,0,구민,2,1.0,2.0
0,0,0,0,2,0,연속,2,1.0,2.0
0,0,0,0,0,2,밀수,2,1.0,2.0
0,0,2,0,0,0,진행중,2,1.0,2.0
0,0,2,0,0,0,김포공항,2,1.0,2.0
0,0,2,0,0,0,에코,2,1.0,2.0
0,0,0,0,2,0,풍선,2,1.0,2.0
0,0,0,0,2,0,사법부,2,1.0,2.0
0,0,0,0,2,0,혈액암,2,1.0,2.0
0,0,2,0,0,0,모임,2,1.0,2.0
0,0,0,0,2,0,구강성교,2,1.0,2.0
0,0,0,0,2,0,상습,2,1.0,2.0
0,0,0,0,2,0,확통,2,1.0,2.0
0,0,0,0,2,0,최지애,2,1.0,2.0
0,2,0,0,0,0,시가총액,2,1.0,2.0
0,0,2,0,0,0,원성,2,1.0,2.0
0,0,2,0,0,0,부등,2,1.0,2.0
0,0,0,0,2,0,늑장,2,1.0,2.0
0,0,0,0,2,0,살림,2,1.0,2.0
0,0,0,0,0,2,꽃봉오리,2,1.0,2.0
0,0,0,0,2,0,크레인,2,1.0,2.0
0,0,0,0,0,2,뱀,2,1.0,2.0
0,2,0,0,0,0,패드,2,1.0,2.0
0,2,0,0,0,0,생산량,2,1.0,2.0
0,2,0,0,0,0,충북도,2,1.0,2.0
0,0,0,0,2,0,몆,2,1.0,2.0
0,2,0,0,0,0,비닐,2,1.0,2.0
0,0,0,0,2,0,고사,2,1.0,2.0
0,0,0,0,2,0,일선,2,1.0,2.0
0,2,0,0,0,0,불금,2,1.0,2.0
0,2,0,0,0,0,자급,2,1.0,2.0
0,2,0,0,0,0,새롬기술,2,1.0,2.0
0,0,2,0,0,0,부천,2,1.0,2.0
0,0,2,0,0,0,전철,2,1.0,2.0
0,0,2,0,0,0,동국대,2,1.0,2.0
0,0,2,0,0,0,철근,2,1.0,2.0
0,0,0,0,2,0,최우,2,1.0,2.0
0,2,0,0,0,0,내재가치,2,1.0,2.0
0,0,0,0,0,2,사육,2,1.0,2.0
0,0,0,0,2,0,이공,2,1.0,2.0
0,0,0,0,0,2,당직,2,1.0,2.0
0,0,0,2,0,0,문제해결,2,1.0,2.0
0,0,2,0,0,0,부지역,2,1.0,2.0
0,0,0,0,2,0,민사소송,2,1.0,2.0
0,0,0,0,2,0,양쪽,2,1.0,2.0
0,0,0,0,2,0,무급,2,1.0,2.0
0,0,0,0,2,0,변별,2,1.0,2.0
0,2,0,0,0,0,진설,2,1.0,2.0
0,2,0,0,0,0,다이얼,2,1.0,2.0
0,0,0,0,2,0,특정시,2,1.0,2.0
0,2,0,0,0,0,폐시,2,1.0,2.0
0,0,2,0,0,0,경의선,2,1.0,2.0
0,2,0,0,0,0,마음껏,2,1.0,2.0
0,0,2,0,0,0,웁,2,1.0,2.0
0,0,0,0,2,0,영국,2,1.0,2.0
0,2,0,0,0,0,자본시장,2,1.0,2.0
0,0,2,0,0,0,오지,2,1.0,2.0
0,0,2,0,0,0,연신내,2,1.0,2.0
0,0,2,0,0,0,교외선,2,1.0,2.0
0,0,0,0,2,0,레이저,2,1.0,2.0
0,0,0,2,0,0,중벌,2,1.0,2.0
0,2,0,0,0,0,곡물,2,1.0,2.0
0,2,0,0,0,0,증산,2,1.0,2.0
0,1,0,0,0,0,상영,1,1.0,1.0
0,0,1,0,0,0,대납,1,1.0,1.0
0,1,0,0,0,0,무소식,1,1.0,1.0
0,0,1,0,0,0,피혜해,1,1.0,1.0
0,0,0,0,0,1,의존,1,1.0,1.0
0,1,0,0,0,0,데미지,1,1.0,1.0
0,1,0,0,0,0,국부,1,1.0,1.0
0,0,1,0,0,0,비밀,1,1.0,1.0
0,1,0,0,0,0,도취,1,1.0,1.0
0,0,0,0,0,1,증세,1,1.0,1.0
0,1,0,0,0,0,호랑이,1,1.0,1.0
0,0,0,1,0,0,스케이트,1,1.0,1.0
0,0,1,0,0,0,해먹,1,1.0,1.0
0,0,1,0,0,0,어라하,1,1.0,1.0
0,0,0,0,0,1,애완동물,1,1.0,1.0
0,1,0,0,0,0,가래,1,1.0,1.0
0,0,0,0,0,1,간식,1,1.0,1.0
0,0,1,0,0,0,동물성,1,1.0,1.0
0,0,0,1,0,0,정녕,1,1.0,1.0
0,1,0,0,0,0,알뜰살뜰,1,1.0,1.0
0,1,0,0,0,0,착공,1,1.0,1.0
0,0,0,0,0,1,거지,1,1.0,1.0
0,0,1,0,0,0,청북,1,1.0,1.0
0,0,0,0,0,1,극히,1,1.0,1.0
0,1,0,0,0,0,차기,1,1.0,1.0
0,0,0,0,0,1,바이퍼,1,1.0,1.0
0,0,0,0,0,1,암암리,1,1.0,1.0
0,0,0,0,0,1,일어난다,1,1.0,1.0
0,1,0,0,0,0,주차,1,1.0,1.0
0,0,0,0,0,1,의료기기,1,1.0,1.0
0,0,1,0,0,0,누수,1,1.0,1.0
0,0,0,1,0,0,시라,1,1.0,1.0
0,0,1,0,0,0,곳곳이,1,1.0,1.0
0,0,0,0,0,1,짐,1,1.0,1.0
0,1,0,0,0,0,동아,1,1.0,1.0
0,0,0,0,0,1,자청,1,1.0,1.0
0,0,1,0,0,0,느니라,1,1.0,1.0
0,0,0,1,0,0,리도,1,1.0,1.0
0,0,0,0,0,1,허수아비,1,1.0,1.0
0,1,0,0,0,0,전설,1,1.0,1.0
0,0,0,0,0,1,생시,1,1.0,1.0
0,1,0,0,0,0,버핏,1,1.0,1.0
0,0,1,0,0,0,칩,1,1.0,1.0
0,1,0,0,0,0,할아버지,1,1.0,1.0
0,1,0,0,0,0,경멸,1,1.0,1.0
0,0,1,0,0,0,자궁,1,1.0,1.0
0,0,1,0,0,0,공제조합,1,1.0,1.0
0,0,0,0,0,1,확연,1,1.0,1.0
0,1,0,0,0,0,생기,1,1.0,1.0
0,1,0,0,0,0,타짜,1,1.0,1.0
0,1,0,0,0,0,곳입,1,1.0,1.0
0,0,1,0,0,0,물바다,1,1.0,1.0
0,1,0,0,0,0,종가,1,1.0,1.0
0,0,0,0,0,1,사비,1,1.0,1.0
0,1,0,0,0,0,일일,1,1.0,1.0
0,0,1,0,0,0,실갱,1,1.0,1.0
0,1,0,0,0,0,잭,1,1.0,1.0
0,0,0,0,0,1,항생제,1,1.0,1.0
0,0,0,1,0,0,대표이사,1,1.0,1.0
0,1,0,0,0,0,철마,1,1.0,1.0
0,0,0,0,0,1,경로,1,1.0,1.0
0,0,1,0,0,0,마이크로,1,1.0,1.0
0,0,1,0,0,0,테헤란로,1,1.0,1.0
0,0,0,0,0,1,상하,1,1.0,1.0
0,1,0,0,0,0,억원,1,1.0,1.0
0,1,0,0,0,0,덜컥,1,1.0,1.0
0,0,1,0,0,0,시스텡,1,1.0,1.0
0,1,0,0,0,0,롯데,1,1.0,1.0
0,1,0,0,0,0,기정,1,1.0,1.0
0,1,0,0,0,0,알고리즘,1,1.0,1.0
0,0,0,1,0,0,망국,1,1.0,1.0
0,1,0,0,0,0,보금자리,1,1.0,1.0
0,1,0,0,0,0,안이,1,1.0,1.0
0,1,0,0,0,0,지역구,1,1.0,1.0
0,1,0,0,0,0,신기루,1,1.0,1.0
0,0,0,1,0,0,국립대,1,1.0,1.0
0,0,0,0,0,1,코브라,1,1.0,1.0
0,0,1,0,0,0,별도,1,1.0,1.0
0,0,0,0,0,1,판명,1,1.0,1.0
0,1,0,0,0,0,대등,1,1.0,1.0
0,0,1,0,0,0,신세,1,1.0,1.0
0,0,1,0,0,0,아이러니,1,1.0,1.0
0,0,0,0,0,1,취약점,1,1.0,1.0
0,1,0,0,0,0,여우,1,1.0,1.0
0,0,1,0,0,0,캐슬,1,1.0,1.0
0,1,0,0,0,0,트레이너,1,1.0,1.0
0,1,0,0,0,0,농락,1,1.0,1.0
0,0,1,0,0,0,리창,1,1.0,1.0
0,0,1,0,0,0,깜빡,1,1.0,1.0
0,0,1,0,0,0,간단,1,1.0,1.0
0,0,0,0,0,1,순차,1,1.0,1.0
0,0,0,0,0,1,하원,1,1.0,1.0
0,0,1,0,0,0,세인트,1,1.0,1.0
0,0,0,0,0,1,남자라면,1,1.0,1.0
0,1,0,0,0,0,헐값,1,1.0,1.0
0,1,0,0,0,0,일차,1,1.0,1.0
0,1,0,0,0,0,온통,1,1.0,1.0
0,1,0,0,0,0,뉘앙스,1,1.0,1.0
0,1,0,0,0,0,조각,1,1.0,1.0
0,1,0,0,0,0,러쉬,1,1.0,1.0
0,1,0,0,0,0,제목,1,1.0,1.0
0,0,1,0,0,0,국수,1,1.0,1.0
0,1,0,0,0,0,천재,1,1.0,1.0
0,0,1,0,0,0,내달,1,1.0,1.0
0,0,1,0,0,0,일자,1,1.0,1.0
0,1,0,0,0,0,앗,1,1.0,1.0
0,1,0,0,0,0,걸핏하면,1,1.0,1.0
0,1,0,0,0,0,건전성,1,1.0,1.0
0,1,0,0,0,0,자지,1,1.0,1.0
0,0,1,0,0,0,이모,1,1.0,1.0
0,0,1,0,0,0,동동,1,1.0,1.0
0,1,0,0,0,0,주차공간,1,1.0,1.0
0,1,0,0,0,0,쪽박,1,1.0,1.0
0,0,0,0,0,1,아르바이트,1,1.0,1.0
0,0,0,0,0,1,코로,1,1.0,1.0
0,0,0,0,0,1,사육자,1,1.0,1.0
0,0,1,0,0,0,대금,1,1.0,1.0
0,0,0,0,0,1,개탄,1,1.0,1.0
0,0,1,0,0,0,권장,1,1.0,1.0
0,0,0,1,0,0,국기,1,1.0,1.0
0,1,0,0,0,0,호미로,1,1.0,1.0
0,0,0,0,0,1,확실,1,1.0,1.0
0,1,0,0,0,0,재연,1,1.0,1.0
0,1,0,0,0,0,재정거래,1,1.0,1.0
0,0,1,0,0,0,울분,1,1.0,1.0
0,0,0,0,0,1,점심,1,1.0,1.0
0,0,1,0,0,0,바서,1,1.0,1.0
0,1,0,0,0,0,열풍,1,1.0,1.0
0,0,1,0,0,0,거주지,1,1.0,1.0
0,0,1,0,0,0,의식주,1,1.0,1.0
0,0,0,0,0,1,사육인,1,1.0,1.0
0,1,0,0,0,0,해박,1,1.0,1.0
0,0,0,1,0,0,경제범죄,1,1.0,1.0
0,0,0,1,0,0,난맥,1,1.0,1.0
0,0,0,0,0,1,여타,1,1.0,1.0
0,1,0,0,0,0,마디,1,1.0,1.0
0,1,0,0,0,0,코오롱,1,1.0,1.0
0,0,0,0,0,1,구들,1,1.0,1.0
0,1,0,0,0,0,추월,1,1.0,1.0
0,0,1,0,0,0,듀플렉스,1,1.0,1.0
0,0,1,0,0,0,묘,1,1.0,1.0
0,0,1,0,0,0,퍼트,1,1.0,1.0
0,1,0,0,0,0,요리조리,1,1.0,1.0
0,0,0,0,0,1,번만,1,1.0,1.0
0,0,0,1,0,0,부회장,1,1.0,1.0
0,0,0,1,0,0,사주,1,1.0,1.0
0,1,0,0,0,0,재계,1,1.0,1.0
0,1,0,0,0,0,론,1,1.0,1.0
0,0,1,0,0,0,땅콩주택,1,1.0,1.0
0,0,0,0,0,1,의무병,1,1.0,1.0
0,0,1,0,0,0,감행,1,1.0,1.0
0,0,1,0,0,0,놀림,1,1.0,1.0
0,0,0,0,0,1,짊어질,1,1.0,1.0
0,1,0,0,0,0,워렌,1,1.0,1.0
0,1,0,0,0,0,무장,1,1.0,1.0
0,0,0,1,0,0,노진규,1,1.0,1.0
0,1,0,0,0,0,뒷짐,1,1.0,1.0
0,0,1,0,0,0,싱크대,1,1.0,1.0
0,1,0,0,0,0,동전,1,1.0,1.0
0,0,1,0,0,0,컨테이너,1,1.0,1.0
0,1,0,0,0,0,차익거래,1,1.0,1.0
0,1,0,0,0,0,쇼,1,1.0,1.0
0,0,0,0,0,1,여느,1,1.0,1.0
0,0,1,0,0,0,로사,1,1.0,1.0
0,0,0,1,0,0,금리,1,1.0,1.0
