2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,all
1171,17040,5930,29425,18377,31251,25696,21624,23044,25254,25387,25772,27783,23916,25740,23360,20125,335,371230
840,7428,3834,15300,14391,26056,23152,19122,21988,23465,23179,24335,26067,22596,24754,22417,18626,270,317820
653,4448,2688,9866,11543,21793,20466,16447,19908,21035,20352,22288,23797,20635,23259,20801,16527,194,276700
537,3049,2008,7353,9437,18506,17982,14126,17758,18769,17743,20340,21666,18642,21577,19140,14515,150,243298
460,2319,1616,5814,8020,15940,15912,12347,15870,16819,15565,18664,19797,16866,19991,17515,12854,116,216485
398,1858,1331,4779,6950,13886,14197,10854,14288,15192,13936,17196,18218,15358,18589,16031,11502,92,194655
361,1584,1118,4053,6061,12163,12735,9663,13137,13811,12598,15947,16892,14116,17325,14762,10406,73,176805
335,1393,958,3477,5393,10821,11511,8684,12108,12714,11470,14889,15759,13038,16174,13651,9438,59,161872
322,1235,851,3040,4833,9629,10494,7924,11274,11816,10590,13988,14766,12064,15138,12690,8658,51,149363
303,1137,754,2696,4358,8662,9649,7218,10566,11017,9815,13193,13861,11188,14284,11787,8019,44,138551
290,1066,676,2415,3964,7819,8907,6624,9919,10372,9109,12461,13003,10492,13394,11047,7427,38,129023
277,1006,610,2209,3680,7181,8257,6164,9422,9794,8511,11847,12245,9779,12642,10326,6919,34,120903
267,933,555,2052,3449,6616,7640,5751,8949,9290,8048,11331,11611,9198,11988,9753,6445,29,113905
256,885,515,1908,3222,6141,7140,5403,8496,8790,7589,10808,10928,8621,11375,9161,6012,26,107276
252,840,488,1777,3022,5722,6701,5104,8097,8363,7189,10372,10308,8103,10802,8667,5645,25,101477
250,809,459,1650,2851,5353,6311,4812,7790,7984,6886,9938,9719,7644,10266,8191,5349,24,96286
238,776,442,1545,2691,5031,5974,4556,7501,7680,6587,9565,9188,7198,9794,7742,5060,23,91591
234,752,418,1444,2559,4719,5644,4342,7217,7361,6327,9214,8704,6791,9344,7335,4819,22,87246
228,723,388,1358,2453,4464,5384,4166,6980,7071,6062,8866,8249,6378,8893,6958,4541,21,83183
228,703,360,1288,2342,4231,5102,3998,6766,6857,5848,8545,7836,6011,8475,6604,4339,17,79550
224,687,345,1210,2251,4056,4868,3831,6551,6609,5621,8274,7474,5662,8138,6295,4123,15,76234
218,664,332,1170,2152,3875,4652,3695,6362,6374,5437,8013,7101,5318,7789,5983,3928,14,73077
213,652,321,1136,2073,3711,4446,3548,6192,6203,5253,7766,6743,4981,7465,5695,3751,14,70163
209,638,311,1084,1986,3565,4264,3421,6028,6006,5091,7525,6414,4669,7158,5463,3598,13,67443
204,627,303,1050,1912,3430,4077,3308,5867,5855,4909,7285,6099,4402,6872,5240,3471,13,64924
203,613,291,1018,1842,3317,3935,3185,5722,5692,4784,7049,5796,4174,6620,5053,3325,10,62629
202,604,284,989,1787,3204,3816,3090,5590,5522,4649,6861,5529,3942,6361,4848,3227,10,60515
202,590,275,960,1736,3107,3687,3003,5449,5375,4534,6666,5288,3726,6114,4662,3127,9,58510
200,581,269,933,1683,3026,3547,2914,5304,5240,4395,6472,5063,3520,5883,4473,3027,9,56539
198,576,262,907,1637,2909,3425,2820,5196,5090,4261,6293,4810,3354,5675,4309,2944,8,54674
197,563,258,889,1580,2831,3304,2752,5091,4961,4149,6132,4591,3184,5500,4155,2865,6,53008
196,555,253,866,1544,2767,3208,2684,4983,4834,4036,5986,4400,3038,5308,4023,2799,6,51486
192,545,250,844,1504,2695,3117,2629,4883,4736,3941,5837,4198,2899,5130,3894,2735,6,50035
189,533,244,822,1472,2634,3023,2572,4784,4616,3850,5705,3995,2758,4939,3786,2674,6,48602
187,528,238,801,1441,2572,2949,2520,4686,4518,3761,5565,3805,2640,4790,3678,2618,6,47303
184,522,238,775,1409,2514,2859,2454,4603,4434,3680,5423,3636,2535,4624,3577,2557,6,46030
183,518,236,761,1388,2460,2791,2403,4516,4328,3604,5293,3503,2436,4480,3481,2504,4,44889
182,513,234,744,1353,2405,2717,2358,4437,4246,3545,5170,3373,2334,4343,3379,2447,4,43784
181,506,229,730,1324,2353,2662,2316,4358,4154,3452,5063,3235,2239,4216,3295,2377,4,42694
178,497,228,718,1301,2299,2592,2266,4279,4057,3362,4940,3133,2143,4106,3213,2318,4,41634
177,493,225,705,1277,2257,2543,2226,4217,3967,3291,4829,3025,2077,4003,3127,2278,4,40721
175,487,223,691,1261,2219,2471,2185,4147,3877,3214,4730,2933,2002,3907,3058,2244,4,39828
174,482,221,680,1247,2176,2409,2149,4071,3807,3150,4611,2829,1933,3809,2987,2197,4,38936
171,473,221,670,1222,2130,2361,2108,4004,3744,3103,4500,2742,1884,3710,2932,2150,4,38129
171,466,220,662,1192,2094,2314,2072,3935,3686,3037,4390,2652,1836,3610,2863,2117,4,37321
171,460,217,649,1174,2055,2264,2036,3883,3596,2983,4282,2572,1799,3536,2809,2071,4,36561
168,454,216,636,1157,2019,2218,2012,3823,3542,2931,4147,2489,1744,3439,2730,2037,4,35766
166,452,214,628,1140,1992,2175,1989,3765,3476,2886,4065,2406,1700,3344,2659,1995,4,35056
165,448,211,618,1123,1953,2125,1960,3702,3408,2820,3955,2327,1661,3249,2606,1964,4,34299
162,446,209,613,1113,1919,2081,1928,3636,3342,2757,3887,2247,1621,3176,2552,1930,4,33623
161,446,207,607,1098,1892,2037,1897,3577,3283,2696,3807,2166,1596,3098,2512,1907,4,32991
161,444,206,601,1087,1871,2000,1866,3527,3200,2652,3700,2107,1565,3024,2469,1874,4,32358
161,442,205,594,1069,1845,1964,1842,3480,3138,2599,3595,2053,1530,2963,2416,1847,4,31747
159,436,205,591,1050,1821,1939,1818,3428,3072,2544,3503,2001,1501,2902,2385,1826,4,31185
157,432,205,580,1036,1787,1907,1791,3379,3023,2484,3432,1948,1467,2852,2345,1790,4,30619
