Source,Target,Weight
국민,여성,4351
의원,여성,3487
국민,대한민국,3104
국민,난민,3032
국민,정부,2753
국민,국가,2734
국민,사람,2299
국민,위,1984
국민,외국인,1805
국민,정책,1781
국민,한국,1743
제출,요구,1458
요구,제출,1458
의원,점,1319
의원,남성,1174
의원,무고,1081
요구,자료,992
자료,요구,992
의원,국민,899
의원,남자,851
의원,성폭력,746
요구,관련,744
의원,정부,740
의원,사회,724
의원,전용,713
요구,서류,700
요구,발달장애,644
요구,의원,612
요구,위원회,602
자료,제출,552
제출,자료,552
요구,보고,455
제출,서류,406
요구,정부,402
요구,국회의원,400
국회의원,요구,400
제출,관련,394
요구,절차,359
제출,의원,355
요구,행정기관,350
요구,가족,350
요구,국회법,350
제출,위원회,348
자료,관련,348
자료,집행,345
요구,법,334
국회의원,국민,315
요구,여성,309
요구,경우,306
요구,의장,300
요구,참고,300
요구,국정감사,300
요구,피해자,295
요구,경찰,285
자료,피해자,282
요구,교사,280
요구,청원,276
자료,서류,266
요구,항의,262
제출,보고,261
요구,정,261
요구,첨부,260
요구,지원,259
요구,이상,257
자료,사건,256
요구,지방자치법,250
요구,답변,240
자료,의원,235
제출,국회의원,232
국회의원,제출,232
자료,위원회,228
요구,상태,228
요구,학교,223
요구,위,214
요구,링크,210
제출,절차,209
요구,항,206
제출,국회법,203
제출,행정기관,203
요구,가해자,203
요구,의결,200
요구,행정,200
요구,공문,200
요구,본회의,200
요구,지방의회,200
자료,친구,198
요구,내용,193
요구,결과,192
요구,사건,191
요구,상황,189
요구,사회,188
국회의원,의원,177
요구,사람,175
요구,개정,168
요구,학생,163
요구,다른,160
요구,서비스,159
요구,국민,157
국회의원,자료,156
요구,국정조사,150
