Source,Target,Weight
병원,치료,2144
병원,의사,2089
병원,환자,1743
병원,간호사,1457
병원,말,1421
병원,재활,1335
병원,저희,1305
병원,의료,1081
병원,수술,1055
병원,태양,1008
아들,학생,824
아들,폭행,734
아들,가해자,729
군,석면,728
군,유,616
군,씨,560
아들,사건,476
아들,말,473
아들,경찰관,462
아들,생각,451
아들,아이,450
아들,가해,432
아들,기절,360
일병,병원,260
일병,군,199
일병,홍,144
일병,홍정기,112
일병,군의관,96
에이즈,인권,90
에이즈,동성,80
일병,군대,79
군대,일병,79
군대,병원,75
일병,말,74
군대,아들,73
군대,군,71
에이즈,아들,70
일병,나라,69
일병,운전,65
일병,어머니,64
에이즈,사람,60
에이즈,사랑,60
에이즈,군대,60
에이즈,성관계,60
군대,에이즈,60
군대,사람,57
군대,인권,55
일병,명,55
군대,말,53
일병,대한민국,52
군대,동성,52
일병,사단,52
일병,사망,50
에이즈,항문,50
에이즈,국가,50
에이즈,감염,50
군대,산이,50
에이즈,국민,50
일병,병,50
일병,보답,48
일병,의무,48
일병,구토,48
일병,얼마나,48
일병,국가,48
일병,진료,48
일병,후송,48
일병,민간,48
일병,부모,42
일병,합의,40
일병,입대,37
일병,병사,34
일병,아들,34
일병,뇌,32
일병,그냥,32
일병,마음,32
일병,진단,32
일병,특급,32
일병,고,32
일병,배치,32
일병,처방,32
일병,초임,32
일병,고통,32
일병,위,32
일병,가능성,32
일병,인솔,32
일병,청원,32
일병,이상,32
일병,서비스,32
일병,두통,32
일병,일어나지,32
일병,운,32
일병,약,32
일병,지금,32
일병,질,32
일병,부대,32
일병,사고,30
일병,사건,30
일병,현금,25
일병,문제,25
일병,군인,25
