Source,Target,Weight
저희,사건,1752
저희,둘째딸,1666
저희,아이,1625
저희,말,1571
저희,아빠,1571
저희,딸,1532
저희,사람,1421
저희,병원,1305
저희,엄마,1113
저희,집,1044
특허,기술,567
기술,특허,567
기술,텔레콤,486
텔레콤,기술,486
패션,모자,440
특허,텔레콤,378
텔레콤,특허,378
패션,저희,374
패션,마스크,330
기술,소송,297
기술,대기업,297
기술,사건,297
대기업,기술,297
패션,표절,286
기술,중소기업,270
대기업,저희,232
특허,소송,231
특허,사건,231
특허,대기업,231
대기업,특허,231
패션,기업,220
기술,침해,217
기술,판결,216
특허,중소기업,210
텔레콤,소송,198
텔레콤,사건,198
패션,대기업,198
텔레콤,대기업,198
대기업,텔레콤,198
대기업,패션,198
기술,저희,189
기술,기술사,185
기술,개발,184
대기업,모자,180
텔레콤,중소기업,180
패션,스타트업,176
패션,제품,176
패션,분쟁,176
특허,침해,168
특허,판결,168
대기업,소송,166
기술,사업,165
기술,국민,164
기술,통신,162
기술,제기,162
패션,관련,154
특허,저희,147
대기업,기업,145
텔레콤,침해,144
텔레콤,판결,144
기술,개,141
대기업,마스크,135
기술,측,135
기술,설명,135
기술,대법원,135
기술,특허법원,135
대기업,사건,135
기술,청구,135
기술,검토,135
기술,탈취,135
기술,사실,135
기술,검찰,135
기술,법,134
기술,의료,133
기술,정부,129
텔레콤,저희,126
기술,정책,118
기술,제도,114
기술,관련,114
기술,모든,109
기술,요청,109
기술,사연,108
기술,특허심판원,108
기술,표준,108
기술,등록,108
기술,피해,108
기술,보호,108
텔레콤,통신,108
기술,호,108
기술,연구기관,108
기술,항,108
기술,고소,108
기술,결과,108
기술,조작,108
텔레콤,개발,108
기술,국제,108
기술,해석,108
기술,호소,108
기술,뒤,108
기술,손해배상,108
