Source,Target
정부,인상
정부,인상
정부,인상
정부,인상
정부,인상
정부,국회의원
정부,국회의원
정부,국회의원
정부,국회의원
정부,최저임금
정부,최저임금
정부,최저임금
정부,국민
정부,국민
정부,국민
정부,점점
정부,점점
정부,점점
정부,정상
정부,정상
정부,정상
정부,해외
정부,해외
정부,해외
정부,연봉
정부,연봉
정부,봉사
정부,봉사
정부,자영
정부,자영
정부,업자
정부,업자
정부,사람
정부,사람
정부,외면
정부,외면
정부,채
정부,채
정부,서로
정부,서로
정부,급여
정부,급여
정부,국회
정부,국회
정부,제발
정부,제발
정부,모습
정부,모습
정부,보고
정부,보고
정부,내년
정부,추진
정부,률
정부,뉴스
정부,접
정부,목소리
정부,반영
정부,경청
정부,직인
정부,연간
정부,지금
정부,상황
정부,문
정부,국가부채
정부,증가
정부,생활비
정부,근로자
정부,시름
정부,단돈
정부,푼
정부,끼니
정부,거르
정부,복지
정부,지대
정부,과연
정부,여당
정부,야당
정부,본인
정부,세비
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,정당
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,헌법
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,통일
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
정부,목적
