Source,Target
처벌,아버지
처벌,아버지
처벌,아버지
처벌,아버지
처벌,아버지
처벌,아버지
처벌,아버지
처벌,아버지
처벌,아버지
처벌,아버지
처벌,오빠
처벌,오빠
처벌,오빠
처벌,오빠
처벌,오빠
처벌,오빠
처벌,오빠
처벌,오빠
처벌,오빠
처벌,오빠
처벌,가해자
처벌,가해자
처벌,가해자
처벌,가해자
처벌,가해자
처벌,가해자
처벌,가해자
처벌,가해자
처벌,쪽
처벌,쪽
처벌,쪽
처벌,쪽
처벌,쪽
처벌,쪽
처벌,채
처벌,채
처벌,채
처벌,채
처벌,세상
처벌,세상
처벌,세상
처벌,세상
처벌,터널
처벌,터널
처벌,터널
처벌,터널
처벌,배수로
처벌,배수로
처벌,배수로
처벌,배수로
처벌,차
처벌,차
처벌,차
처벌,차
처벌,타
처벌,타
처벌,타
처벌,타
처벌,부분
처벌,부분
처벌,부분
처벌,부분
처벌,잘못
처벌,잘못
처벌,잘못
처벌,잘못
처벌,아빠
처벌,아빠
처벌,아빠
처벌,아빠
처벌,데뷔
처벌,데뷔
처벌,데뷔
처벌,데뷔
처벌,정말
처벌,정말
처벌,정말
처벌,정말
처벌,구속
처벌,구속
처벌,구속
처벌,구속
처벌,가족
처벌,가족
처벌,가족
처벌,가족
처벌,눈
처벌,눈
처벌,한번
처벌,한번
처벌,못
처벌,못
처벌,새벽
처벌,새벽
처벌,승용차
처벌,승용차
처벌,성남
처벌,성남
처벌,내곡
처벌,내곡
처벌,추락사고
처벌,추락사고
처벌,운전자
처벌,운전자
처벌,최
처벌,최
처벌,모씨
처벌,모씨
처벌,박아
처벌,박아
처벌,운전
처벌,운전
처벌,석
처벌,석
처벌,수석
처벌,수석
처벌,추락
처벌,추락
처벌,병원
처벌,병원
처벌,이송
처벌,이송
처벌,살이
처벌,살이
처벌,척추골절
처벌,척추골절
처벌,폐
처벌,폐
처벌,뇌
처벌,뇌
처벌,수술
처벌,수술
처벌,조치
처벌,조치
처벌,취할
처벌,취할
처벌,본인
처벌,본인
처벌,우기
처벌,우기
처벌,블랙박스
처벌,블랙박스
처벌,확인
처벌,확인
처벌,바
처벌,바
처벌,퍼센트
처벌,퍼센트
처벌,과실
처벌,과실
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,딸
처벌,사건
처벌,사건
처벌,사건
처벌,사건
처벌,사건
처벌,사건
처벌,사건
처벌,사건
처벌,사건
처벌,사건
처벌,유가족
처벌,유가족
처벌,유가족
처벌,유가족
처벌,유가족
처벌,유가족
처벌,유가족
처벌,유가족
처벌,글
처벌,글
처벌,글
처벌,글
처벌,글
처벌,글
처벌,꽃
처벌,꽃
처벌,꽃
처벌,꽃
처벌,꽃
처벌,꽃
처벌,축소
처벌,축소
처벌,축소
처벌,축소
처벌,축소
처벌,축소
처벌,정신병
처벌,정신병
처벌,정신병
처벌,정신병
처벌,정신병
처벌,정신병
처벌,심신
처벌,심신
처벌,심신
처벌,심신
처벌,심신
처벌,심신
처벌,미약
처벌,미약
처벌,미약
처벌,미약
처벌,미약
처벌,미약
처벌,사망
처벌,사망
처벌,사망
처벌,사망
처벌,가해자
처벌,가해자
처벌,가해자
처벌,가해자
처벌,조현병
처벌,조현병
처벌,조현병
처벌,조현병
처벌,폐하
처벌,폐하
처벌,폐하
처벌,폐하
처벌,려
처벌,려
처벌,려
처벌,려
처벌,번
처벌,번
처벌,번
처벌,번
처벌,아빠
처벌,아빠
처벌,오늘
처벌,오늘
처벌,다운
처벌,다운
처벌,올해
처벌,올해
처벌,살로
처벌,살로
처벌,남자친구
처벌,남자친구
처벌,목
처벌,목
처벌,졸림
처벌,졸림
처벌,그것
처벌,그것
처벌,생일
처벌,생일
처벌,날
처벌,날
처벌,병명
처벌,병명
처벌,말
처벌,말
처벌,정상
처벌,정상
처벌,살수
처벌,살수
처벌,발생
처벌,발생
처벌,병
처벌,병
처벌,음폐
처벌,음폐
처벌,진행중
처벌,진행중
처벌,결론
처벌,결론
처벌,는걸
처벌,는걸
처벌,생각
처벌,생각
처벌,행동
처벌,행동
처벌,래야
처벌,래야
처벌,눈
처벌,눈
처벌,감지
처벌,감지
처벌,이제
처벌,이제
처벌,만
처벌,만
처벌,살
처벌,살
처벌,나이
처벌,나이
처벌,피지
처벌,피지
처벌,못
처벌,못
처벌,꽃봉오리
처벌,꽃봉오리
처벌,삶
처벌,삶
처벌,사건
처벌,사건
처벌,사건
처벌,사건
처벌,남성
처벌,남성
처벌,남성
처벌,이유
처벌,이유
처벌,이유
처벌,감형
처벌,감형
처벌,감형
처벌,여성
처벌,여성
처벌,여성
처벌,직원
처벌,직원
처벌,위협
처벌,위협
처벌,죄
처벌,죄
처벌,대한민국
처벌,대한민국
처벌,지난
처벌,정신지체
처벌,장애
처벌,세
처벌,정
처벌,약국
처벌,무고
처벌,약사
처벌,흉기
처벌,차례
처벌,자녀
처벌,대의
처벌,피해
처벌,사망
처벌,범행
처벌,가해
처벌,과거
처벌,정신과
처벌,치료
처벌,기록
처벌,몇
처벌,전
처벌,강남역
처벌,마찬가지
처벌,혐오
처벌,범죄
처벌,힘
처벌,의도
처벌,살인
처벌,정신
처벌,이유나
처벌,음주
처벌,방패
처벌,가해자
처벌,이상
처벌,볼
처벌,무게
처벌,목숨
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,지혜
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,학생
처벌,친구
처벌,친구
처벌,친구
처벌,친구
처벌,친구
처벌,친구
처벌,친구
처벌,친구
처벌,친구
처벌,친구
처벌,친구
처벌,친구
처벌,군
처벌,군
처벌,군
처벌,군
처벌,군
처벌,군
처벌,군
처벌,군
처벌,군
처벌,군
처벌,군
처벌,군
처벌,강간
처벌,강간
처벌,강간
처벌,강간
처벌,강간
처벌,강간
처벌,강간
처벌,강간
처벌,강간
처벌,강간
처벌,강간
처벌,강간
처벌,가해
처벌,가해
처벌,가해
처벌,가해
처벌,가해
처벌,가해
처벌,가해
처벌,가해
처벌,가해
처벌,가해
처벌,가해
처벌,가해
처벌,이야기
처벌,이야기
처벌,이야기
처벌,이야기
처벌,이야기
처벌,이야기
처벌,이야기
처벌,이야기
처벌,이야기
처벌,이야기
처벌,학교
처벌,학교
처벌,학교
처벌,학교
처벌,학교
처벌,학교
처벌,학교
처벌,학교
처벌,학교
처벌,학교
처벌,말
처벌,말
처벌,말
처벌,말
처벌,말
처벌,말
처벌,말
처벌,말
처벌,못
처벌,못
처벌,못
처벌,못
처벌,못
처벌,못
처벌,못
처벌,못
처벌,자신
처벌,자신
처벌,자신
처벌,자신
처벌,자신
처벌,자신
처벌,자신
처벌,자신
처벌,동생
처벌,동생
처벌,동생
처벌,동생
처벌,동생
처벌,동생
처벌,자살
처벌,자살
처벌,자살
처벌,자살
처벌,자살
처벌,자살
처벌,방영
처벌,방영
처벌,방영
처벌,방영
처벌,방영
처벌,방영
처벌,화장실
처벌,화장실
처벌,화장실
처벌,화장실
처벌,화장실
처벌,화장실
처벌,하자
처벌,하자
처벌,하자
처벌,하자
처벌,하자
처벌,하자
처벌,압박
처벌,압박
처벌,압박
처벌,압박
처벌,압박
처벌,압박
처벌,상황
처벌,상황
