Source,Target
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,인상
국민,국회의원
국민,국회의원
국민,국회의원
국민,국회의원
국민,국회의원
국민,국회의원
국민,국회의원
국민,국회의원
국민,국회의원
국민,국회의원
국민,국회의원
국민,국회의원
국민,최저임금
국민,최저임금
국민,최저임금
국민,최저임금
국민,최저임금
국민,최저임금
국민,최저임금
국민,최저임금
국민,최저임금
국민,점점
국민,점점
국민,점점
국민,점점
국민,점점
국민,점점
국민,점점
국민,점점
국민,점점
국민,정상
국민,정상
국민,정상
국민,정상
국민,정상
국민,정상
국민,정상
국민,정상
국민,정상
국민,해외
국민,해외
국민,해외
국민,해외
국민,해외
국민,해외
국민,해외
국민,해외
국민,해외
국민,연봉
국민,연봉
국민,연봉
국민,연봉
국민,연봉
국민,연봉
국민,봉사
국민,봉사
국민,봉사
국민,봉사
국민,봉사
국민,봉사
국민,자영
국민,자영
국민,자영
국민,자영
국민,자영
국민,자영
국민,업자
국민,업자
국민,업자
국민,업자
국민,업자
국민,업자
국민,사람
국민,사람
국민,사람
국민,사람
국민,사람
국민,사람
국민,외면
국민,외면
국민,외면
국민,외면
국민,외면
국민,외면
국민,채
국민,채
국민,채
국민,채
국민,채
국민,채
국민,서로
국민,서로
국민,서로
국민,서로
국민,서로
국민,서로
국민,급여
국민,급여
국민,급여
국민,급여
국민,급여
국민,급여
국민,국회
국민,국회
국민,국회
국민,국회
국민,국회
국민,국회
국민,제발
국민,제발
국민,제발
국민,제발
국민,제발
국민,제발
국민,모습
국민,모습
국민,모습
국민,모습
국민,모습
국민,모습
국민,보고
국민,보고
국민,보고
국민,보고
국민,보고
국민,보고
국민,내년
국민,내년
국민,내년
국민,추진
국민,추진
국민,추진
국민,률
국민,률
국민,률
국민,뉴스
국민,뉴스
국민,뉴스
국민,접
국민,접
국민,접
국민,목소리
국민,목소리
국민,목소리
국민,반영
국민,반영
국민,반영
국민,경청
국민,경청
국민,경청
국민,직인
국민,직인
국민,직인
국민,연간
국민,연간
국민,연간
국민,지금
국민,지금
국민,지금
국민,상황
국민,상황
국민,상황
국민,문
국민,문
국민,문
국민,국가부채
국민,국가부채
국민,국가부채
국민,증가
국민,증가
국민,증가
국민,생활비
국민,생활비
국민,생활비
국민,근로자
국민,근로자
국민,근로자
국민,시름
국민,시름
국민,시름
국민,단돈
국민,단돈
국민,단돈
국민,푼
국민,푼
국민,푼
국민,끼니
국민,끼니
국민,끼니
국민,거르
국민,거르
국민,거르
국민,복지
국민,복지
국민,복지
국민,지대
국민,지대
국민,지대
국민,과연
국민,과연
국민,과연
국민,정부
국민,정부
국민,정부
국민,여당
국민,여당
국민,여당
국민,야당
국민,야당
국민,야당
국민,본인
국민,본인
국민,본인
국민,세비
국민,세비
국민,세비
국민,도살
국민,도살
국민,도살
국민,도살
국민,도살
국민,도살
국민,도살
국민,도살
국민,도살
국민,도살
국민,도살
국민,도살
국민,이제
국민,이제
국민,이제
국민,이제
국민,이제
국민,이제
국민,이제
국민,이제
국민,이제
국민,이제
국민,이제
국민,이제
국민,행위
국민,행위
국민,행위
국민,행위
국민,행위
국민,행위
국민,행위
국민,행위
국민,행위
국민,사람과
국민,사람과
국민,사람과
국민,사람과
국민,사람과
국민,사람과
국민,자신
국민,자신
국민,자신
국민,자신
국민,자신
국민,자신
국민,머리
국민,머리
국민,머리
국민,머리
국민,머리
국민,머리
국민,식용견
국민,식용견
국민,식용견
국민,식용견
국민,식용견
국민,식용견
국민,몸
국민,몸
국민,몸
국민,몸
국민,몸
국민,몸
국민,아래
국민,아래
국민,아래
국민,링크
국민,링크
국민,링크
국민,자식
국민,자식
국민,자식
국민,여기
국민,여기
국민,여기
국민,공포
국민,공포
국민,공포
국민,두려움
국민,두려움
국민,두려움
국민,모든
국민,모든
국민,모든
국민,고통
국민,고통
국민,고통
국민,고스
국민,고스
국민,고스
국민,란
국민,란
국민,란
국민,감정
국민,감정
국민,감정
국민,생명
국민,생명
국민,생명
국민,망치
국민,망치
국민,망치
국민,눈
국민,눈
국민,눈
국민,통속
국민,통속
국민,통속
국민,아가
국민,아가
국민,아가
국민,젖
국민,젖
국민,젖
국민,맥
국민,맥
국민,맥
국민,소변
국민,소변
국민,소변
국민,대변
국민,대변
국민,대변
국민,혼자
국민,혼자
국민,혼자
국민,처리
국민,처리
