Source,Target
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,문제
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,대해
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,사회
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,대한민국
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,무비
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,입국
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,생각
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,의문
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,다른
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,해결
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,심사
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,제주도
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,발생
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,과연
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,듭니
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,현재
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,다시
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,달
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,기간
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,경제
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,관광
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,활성화
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,악용
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,시대
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,불법체류자
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,문화
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,지원
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,국민
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,안전
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,우려
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,바
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,제도
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,책
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,치안
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,허가
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,구심
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,선례
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,불법체류
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,유럽
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,이유
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,기준
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,폐지
신청,법
신청,법
신청,법
신청,법
신청,법
신청,법
신청,법
신청,법
신청,제정
신청,제정
신청,제정
신청,제정
신청,제정
신청,제정
신청,제정
신청,제정
신청,외국인
신청,외국인
신청,외국인
신청,외국인
신청,외국인
신청,외국인
신청,외국인
신청,외국인
신청,제한
신청,제한
신청,제한
신청,제한
신청,제한
신청,제한
신청,제한
신청,제한
신청,체류
신청,체류
신청,체류
신청,체류
신청,체류
신청,체류
신청,체류
신청,체류
신청,자격
신청,자격
신청,자격
신청,자격
신청,자격
신청,자격
신청,자격
신청,자격
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
신청,난민
