Source,Target
심신,이유
심신,이유
심신,이유
심신,이유
심신,이유
심신,이유
심신,이유
심신,이유
심신,이유
심신,피의자
심신,피의자
심신,피의자
심신,피의자
심신,피의자
심신,피의자
심신,피의자
심신,피의자
심신,피의자
심신,우울증
심신,우울증
심신,우울증
심신,우울증
심신,우울증
심신,우울증
심신,우울증
심신,우울증
심신,우울증
심신,뉴스
심신,뉴스
심신,뉴스
심신,뉴스
심신,뉴스
심신,뉴스
심신,뉴스
심신,뉴스
심신,뉴스
심신,미약
심신,미약
심신,미약
심신,미약
심신,미약
심신,미약
심신,미약
심신,미약
심신,미약
심신,형
심신,형
심신,형
심신,형
심신,형
심신,형
심신,형
심신,형
심신,형
심신,수도
심신,수도
심신,수도
심신,수도
심신,수도
심신,수도
심신,수도
심신,수도
심신,수도
심신,자신
심신,자신
심신,자신
심신,자신
심신,자신
심신,자신
심신,자신
심신,자신
심신,자신
심신,가족
심신,가족
심신,가족
심신,가족
심신,가족
심신,가족
심신,말
심신,말
심신,말
심신,말
심신,말
심신,말
심신,약
심신,약
심신,약
심신,약
심신,약
심신,약
심신,학생
심신,학생
심신,학생
심신,학생
심신,학생
심신,학생
심신,감형
심신,감형
심신,감형
심신,감형
심신,감형
심신,감형
심신,자기
심신,자기
심신,자기
심신,자기
심신,자기
심신,자기
심신,모델
심신,모델
심신,모델
심신,모델
심신,모델
심신,모델
심신,언제
심신,언제
심신,언제
심신,언제
심신,언제
심신,언제
심신,처벌
심신,처벌
심신,처벌
심신,처벌
심신,처벌
심신,처벌
심신,요
심신,요
심신,요
심신,요
심신,요
심신,요
심신,엊그제
심신,엊그제
심신,엊그제
심신,강서구
심신,강서구
심신,강서구
심신,피시방
심신,피시방
심신,피시방
심신,살인
심신,살인
심신,살인
심신,사건
심신,사건
심신,사건
심신,청원
심신,청원
심신,청원
심신,세
심신,세
심신,세
심신,알바생
심신,알바생
심신,알바생
심신,손님
심신,손님
심신,손님
심신,흉기
심신,흉기
심신,흉기
심신,차례
