Source,Target
이재명,그것
이재명,알고싶다
이재명,에서
이재명,내용
이재명,은수미
이재명,성남시장
이재명,조폭
이재명,관련
이재명,사실
이재명,만약
이재명,법
이재명,엄히
이재명,처벌
이재명,조폭
이재명,조폭
이재명,조폭
이재명,조폭
이재명,조폭
이재명,조폭
이재명,은수미
이재명,은수미
이재명,은수미
이재명,은수미
이재명,연관
이재명,연관
이재명,연관
이재명,연관
이재명,설
이재명,설
이재명,설
이재명,설
이재명,앞
이재명,앞
이재명,앞
이재명,앞
이재명,먼저
이재명,먼저
이재명,먼저
이재명,먼저
이재명,그것
이재명,그것
이재명,최근
이재명,최근
이재명,별
이재명,별
이재명,신변
이재명,신변
이재명,방송
이재명,방송
이재명,이후
이재명,이후
이재명,로부터
이재명,로부터
이재명,성남
이재명,성남
이재명,오지
이재명,오지
이재명,협박
이재명,협박
이재명,언론
이재명,언론
이재명,탄압
이재명,탄압
이재명,겁박
이재명,겁박
이재명,후속
이재명,후속
이재명,보도
이재명,보도
이재명,못
이재명,못
이재명,목적
이재명,목적
이재명,인지도
이재명,인지도
이재명,경호원
이재명,경호원
이재명,시간
이재명,시간
이재명,동행
이재명,동행
이재명,차량
이재명,차량
이재명,태러
이재명,태러
이재명,승용차
이재명,승용차
이재명,벤츠
이재명,벤츠
이재명,교체
이재명,교체
이재명,특검
이재명,특검
이재명,현재
이재명,현재
이재명,수사
이재명,수사
이재명,공정
이재명,공정
이재명,의심
이재명,의심
이재명,사람
이재명,사람
이재명,상식
이재명,상식
이재명,민주주의
이재명,민주주의
이재명,대한민국
이재명,대한민국
이재명,정치
이재명,정치
이재명,발전
이재명,발전
이재명,세상
이재명,세상
이재명,나라
이재명,나라
이재명,바
이재명,바
이재명,도지사
이재명,조폭
이재명,연루
이재명,의혹
이재명,국민
이재명,경기도
이재명,지사
이재명,코마
이재명,트레이드
이재명,특검
이재명,요청
