num,category,start-days,end-days,person,progress,title,count,petition_overview
465991,외교/통일/국방,2018-12-11,2019-01-10,naver - ***,청원종료 ,이재수 전 기무사령관의 세월호 유가족 사찰 지시 취지 회의록을 공개하라!,참여인원 : [ 7명 ],"
											이재수 전 기무사령관의 죽음을 계기로 보수수구우익들의 적폐청산 수사 중단에 대한 요구가 지나치다. 
											우리는 왜 이재수가 검찰에 구속영장까지 청구되었는지 구체적 근거에 대해서 잘 알고 판단할 필요가 있다.  

											다음 한겨레 기사를 인용한다.  

											기사에 따르면 이재수 기무사는 세월호 참사로 일대 정치적 위기에 놓인 박근혜 정부를 보위하기 위해서 전형적 불법정치개입을 서슴지 않았다. 고인의 참담한 죽음은 안타깝지만, 사실은 사실대로 알고 판단하자. 사실을 간과한 채 정치적 선입견으로 망자를 파는 보수수구우익들(자한당 비대위원장 김병준, 김성태, 우익 변호사 서정욱 등등)의 선동에 놀아나지는 말자. 


											인용: 

											박근혜 정부 당시 국군기무사령부(기무사)가 세월호 정국을 조기에 전환하기 위해 세월호를 '수장'하는 방안을 청와대에 보고한 것으로 확인됐다. 기무사는 또 세월호 선사 청해진해운의 실소유주로 지목된 유병언(사망) 세모그룹 회장을 검거하기 위해 무전기 통신 내용을 '불법감청'한 것으로 밝혀졌다. 


											기무사의 세월호 민간인 사찰 의혹을 수사해온 군특별수사단은 6일 이런 내용을 담은 수사결과를 발표했다. 군특수단은 “이번 사건은 기무사가 세월호 참사 기간 ‘통치권 보필’ 이라는 미명 아래 권한을 남용해 조직적, 기능적으로 세월호 유가족 등 민간인들을 불법적으로 사찰한 사건”이라고 규정했다. 

											기무사는 2014년 4월 세월호 참사 이후 부대 차원에서 ‘세월호 관련 여망 및 제언 수집’이란 이름으로 세월호 정국 조기 전환 방안을 수집했고, 그 방안의 하나로 세월호 수장 방안을 6월7일 청와대에 보고했다. 기무사는 참사 초기엔 실종자 수색 조기 종료, 세월호 조기 인양 취지의 보고를 올렸으나, 인양 장기화가 예상되자 수장 쪽으로 방향을 틀었다고 군특수단은 설명했다. 

											당시 기무사가 제시한 세월호 정국 조기 전환 방안에는  
											△실종자 부모가 강경한 태도로 나올 경우 친인척들의 신원을 확인한 뒤, 이들과 우회적으로 보상금 지급을 협상하고 △세월호 관련 투입비용 또는 유가족의 요구사항을 언론해 공개해 수색 및 인양에 부정적 여론을 형성할 필요가 있다는 내용이 들어 있다. 특히 세월호 선주와 선장의 악행을 부각해 국민 분노가 이들에게 쏠리도록 할 필요가 있다고 제안했다. 

											==> 양식있는 시민들에게 묻자. 기무사가 민간인 상대로 이런 정치공작하는 것이 참군인의 길인가? 


											기무사는 6월11일부터 유병언 회장 검거를 위한 태스크포스를 구성하고 감청장비를 투입하는 등 부대 차원에서 검거작전에 나섰다. 군특수단은 “기무사는 수차례에 걸쳐 청와대 주요 직위자 등에게 유병언 검거작전 보고를 올렸다”며 “청와대 고위 직위자가 기무사의 감청장비 투입에 대해 ‘기무사만큼 일사분란하게 움직이는 조직은 없음. 최고의 부대임’이라며 기무사를 독려한 문건도 확인했다”고 밝혔다. 

											==> 이래서 이재수 윗선에 대한 검찰의 수사가 있었던 것이다. 이재수는 윗선을 불어라는 검찰 수사에 대해서 불만을 표시한 것으로 알려졌다. 하지만 수사 기관은 마땅히 박근혜 기무사의 윗선에 대해서 진실을 밝힐 의무가 있다. 

											기무사는 이 과정에서 불법감청을 '전파환경조사'로 위장하는 술수를 부렸다. 

											 6월17일 ‘방탐장비에 의한 감청 위법성 극복 방안’ 보고서를 보면, “이 건은 통신비밀호보호법 및 대간첩통신업무규정을 벗어난 위법”이라고 명시해놓고도 “위법성 논란을 극복하기 위해 전파환경조사 명분으로 활동”할 것이라고 보고했다. 군특수단은 ""본래의 방탐·보안 임무에 공백이 발생함에도 인력과 장비를 전개하고, 공공기관부터 개인 무전통신까지 무차별적으로 감청했다""고 설명했다. 불법감청은 용인과 안성 등지에서 2만3300여건이나 이뤄졌다. 

											==> 명백한 민간인 불법사찰이다!  

											기무사는 6·4 지방선거 등 주요 정치일정을 앞두고 세월호 정국이 박근혜 정권에 불리하게 전개되자 정국 전환과 박 전 대통령 지지율 회복 등을 위해 세월호 태스크포스를 구성해 운영했다. 기무사는 이 태스크포스를 중심으로 세월호 유가족에게 불리한 여론 형성을 위한 첩보 수집에 나섰고, 모두 14차례에 걸쳐 정국 전환 방안과 유가족 사찰 실행을 청와대 주요 직위자들에게 보고했다. 

											조직적인 기무사의 세월호 유가족 사찰 


											1. 진도 현장에 파견된 610부대장은 실종자 가족 개개인의 정치성향(강성·중도)과 가족관계, 텔레비전 시청 내용, 음주실태 등 첩보를 수집해 보고하도록 했다. 부대원들에게 보고 때 ‘충성’ 구호 사용 금지, 주민등록증과 운전면허증 외 다른 신분증 소지 금지, 적발시 실종자 가족으로 신분 위장 등을 지시하기도 했다.  

											2. 안산에 파견된 310부대장은 유가족 및 단원고 학생 동정, 유가족단체 지휘부의 과거 직업과 정치성향, 가입정당 정보를 비롯해 합동분향소 주변 시위 상황 등을 보고하도록 했다.  

											3. 기무사 사이버부대는 구글 검색 등을 통해 유가족 개인별 인터넷 기사, 전화번호, 학적사항, 중고거래 내역, 인터넷 카페활동 등을 수집했다. 군특수단 관계자는 ""현장에선 (기무사 요원들이) 부담감을 느꼈다는 내용이 보고서에도 나온다""며 ""(요원 중) 한 명은 유가족들에게 감정적으로 동화된 상태에서 사찰내용을 보고하려고 하니 심리적으로 힘든 부분이 많았다고 (수사 과정에서) 진술하기도 했다""고 전했다. 

											놓치지 말아야 할 진실: 

											이처럼 기무사가 불법적으로 세월호 정국에 관여한 것은 당시 이재수 기무사령관의 '독려'가 있었기 때문으로 풀이된다. 특수단은 세월호 참사 당시 이 사령관이 세월호 유가족 사찰을 지시하는 취지의 내용이 담긴 회의록을 확보한 것으로 알려졌다. 군특수단 관계자는 ""현재 민간인 신분인 이 사령관에 대한 수사는 서울중앙지검에서 진행하고 있다""며 ""이 사령관의 윗선에 대해서도 민간 검찰에서 수사가 이뤄질 것""이라고 말했다. 군특수단은 세월호 민간인 사찰 수사를 담당했던 군검사 및 검찰수사관 일부를 잔류시켜 국방부 보통군사법원에 기소된 피고인들에 대한 공판을 수행할 예정이다. 
"
465992,정치개혁,2018-12-11,2019-01-10,naver - ***,청원종료 ,그때 그때달라요가 원칙이 지켜지는 나라인가요?,참여인원 : [ 13명 ],"
											사회안전성땜에 삼성바이오는 상장이 유지되고, 
											사회안전성이 없기 때문에 MP그룹은 상장폐지인가요?   
											삼성의 7만명 소액주주는 사회안전성에 해당되고 
											MP그룹의 1만명은 그냥 죽여도 되는 사회안전성이 아닌가요?  이게 나라입니까? 구멍가게들 운영하십니까? 수년간 문대통령과 그 토양인 민주당을  열변을 토하며 흔들림없이 지지햇던 내가 개탄스럽습니다..구멍가게를 운영하시나요? 
"
465993,정치개혁,2018-12-11,2019-01-10,facebook - ***,청원종료 ,대한 민국 국회의원 놈들은.국민피를 빨아먹는.흡열귀다,참여인원 : [ 37명 ],"
											예산안처리보면 여야가.서로 완전 짜고치고.나누어.먹.기하는구나. 게새끼들. 
											국회의원 놈들 또 저들지역 구에 예산 많이 받아서.머 건설한다고.또 건설업.사장.끼고.돈또 뜯어.먹 고. 지역구 발전시키니까.또.선거에서.이길거고.알먹고 꽁먹기네. 국민위한다는 공무원이 아니라 너들 개인 위하는 깡패조폭집단.흡혈귀들이다. 
											전부.싹다.잡아넣고. 예산안.처리.국 회에 서 맡기지말고 나라 기획재정부 에서 하면된다. 
"
465994,기타,2018-12-11,2019-01-10,naver - ***,청원종료 ,이대로 좋은가?,참여인원 : [ 2명 ],"
											저는 박근혜 대통령이 국정운영에 잘못 됀 점이 있어 탄핵 되었다고 생각합니다! 그럼 그 탄핵에 기반이 돼어 탄생한 이정권이 잘못하는 부분에 대한 국민탄핵은 생각 하고 있어야 한다고 생각합니다! 
											저는 이 정권을 국가 반역 으로 탄핵을 권고합니다! 
											전반적익 국민에 뜻은 외면 한체 문대통령 신렴으로만 하는 국정 운영 은 본인이 말한 불통 그이상 이고 최악에  대통령이라 생각에 탄핵 을 하기 위한 방법을 조언 합니다 
											답변이 없을시 1인 시위도 할 생각이니  
											답변 부탁 드립니다  
											이정권에 생각이 먼지 
"
465995,정치개혁,2018-12-11,2019-01-10,naver - ***,청원종료 ,당신의 국민은 대체 누구입니까!!!,참여인원 : [ 18명 ],"
											국민을 위해서 하는 일이 있다면 올려도 괜 찮다고 생각 합니다 
											어차피 고용주를  위해서 일을 많이 했다면  고용인 월급 올려 줘야 마땅 하지요 
											난민이주협약....대북관계... 노벨 평화상 받고 싶으신 겁니까? 
											지금 외국의 난민을 생각 할때가 아닙니다 
											당신이 책임 져야 할 우리 국민이 아파서  울고 있습니다 
											적폐청산...열심히 하고 계시죠... 
											하지만, 당신이 청산 해야 할 적폐는 당신의 수하들입니다 
											국민의 범이 되어야 할 고위 관리들이 음주운전과 사치 행각등등 갖은 비리를  
											일 삼고 있습니다 
											뭔가 달라 질 줄 알았습니다 
											뭔가 특별 할 줄 알았습니다 
											얼마전 안경 쓴 박모씨가 이런 얘길 합디다 
											어차피 대선에 또 나갈거 아니니까 
											지지율 상관없고 신경 안써도 된다고... 
											그 글을 보고  
											대통령은 우리 마음을 알려고도 하지 않는 구나...알려고도 하지 않았구나 
											아 이젠 진짜 죽었구나.. 그냥 이렇게 끝나는거 구나..하는 생각에 
											암담하고 앞이 보이지 않았습니다 
											지지율은 민심이고 국민의 바램인데 그 걸 상관하지 않았구나..이미 대통령이니까.... 
											그랬구나...그랬구나...그랬구나.... 
											당신은 누구의 대통령입니까? 
											누구를 위한 대통령입니까? 
											당신의 국민은 대체 누구입니까!!! 
"
465996,정치개혁,2018-12-11,2019-01-10,naver - ***,청원종료 ,국회의원 국가예산 심사만하는걸로합시다,참여인원 : [ 12명 ],"
											예산을  짜느건 나라를 운영은 정부가하는거 아닌가요. 
											운영하는곳에서 운영안대로 예산 잡는거고 
											국회는 국민을 대표해서 평가하고 감시하는곳이지 

											왜국회가 예산을 마음대로 바꾸죠? 
											잘못된것  같아요 
											예산에 잘못된부분이 있으면 정부에 시정조치를 요구하연 정부가 다시 국회를 설득하든지 예산을 정부가 조정해서 국회에 제춣 하는것이 맞지 국회에서 예산을 직접 편성하는건 문제가 있다고 생각합니다 

											그냥  지맘대로야 
											그리고 자기급여를 자기가 올리는 곳이 어디있나요 
											그럼 나도 내월급 내가 올리게  해줘요 
											한 1억받게.  
											정부의 역활과 국회의 역활 다시 조정필요할듯  싶구요 
											제왕적  대통령제가 문제라했었는데 
											제왕적 국회도 문제인것 같습니다. 
											그리고 무노동 무임금 원친 국회의원도 적용되어야하지 않나요 
											국회 출석안하는 국회의원은 그만큼 급여에서 빼는게 맞지 않을까 싶은데요. 
											개 부럽 일안하고 자기 밥그릇 싸움만해도 월급 받으니  
											부럽기만 합니다. 
"
465997,교통/건축/국토,2018-12-11,2019-01-10,naver - ***,청원종료 ,"납부한 6,500만원 선처부탁드립니다.",참여인원 : [ 6명 ],"
											저는 울산 북구 중산매곡 지역주택조합에 가입한 이고운입니다. 모든 일상을 할때마다 자꾸 납부한 6,500만원이 생각이 납니다. 밥을 먹을때에도 잠을 자기전에도 핸드폰수리를 맡기러 와서도 자꾸 생각이 나서 원통합니다. 너무 억울합니다. 
											저는 2015년 6월 19일 계약금을 시작으로 6,500만원을 납부했습니다. 계약당시에 울산북구 중산 매곡 지역 주택 조합에서는 세대주변경과 관련해서 괜찮다고 했습니다. 계약금을 넣을 당시에는 세대주가 아니어도 괜찮다고 했습니다. 그리고 결혼과 동시에 세대주가 배우자로 변경이 되었습니다. 변경이 되어 탈퇴가 되었을때에는 공문과 수많은 문자들로 힘들게 했습니다. 
											     다시 전화로 증빙서류를 울산 북구 중산매곡지역주택조합에 가입을 했습니다. 행정적으로 주택시행령 제 22조에 의해 다시 되었습니다. 그 당시에 울산 북구 중산매곡지역주택조합이 위험하다고 말해주는 이도 없었고 납부한 6,500만원이 잃은다는 말만 들었습니다. 이것이 문제가 되어 납부한 돈을 받을 수없다는 것은 부당하다고 생각합니다. 
											     제가 할수 있는 것은 먼저 울산북구중산매곡지역주택조합에 탈퇴의사를 밝히고 했지만 울산북구중산매곡지역주택조합은 탈퇴접수대장의 문서도 없었고 다만 납부한 금액을 포기하라는 포기각서와 어디에서 말하지않는 각서를 쓰라고 종용했습니다. 그리고 해당관청에서는 주택법 제 11조 제1항을 들어 탈퇴 의사를 밝히고 탈퇴를 할수 있다. 부담한 금액을 청구할수 있는 공문을 중산매곡지역주택조합보냈지만 해주지 않고 있습니다. 친정엄마는 제가 돌이 막지난 아들을 데리고 1인시위를 못할까 대신하여 45일간 올해 해당관청과 조합앞에서 사정사정 1인 시위를 했습니다. 
											     주택법이 통하지않는 법도 있습니까. 대통령령이 못 들은 척하고 모르쇠로 일관해도 납부한 6,500만원이 됩니까. 제게는 납부한 금액이 엄청나게 큰 돈입니다. 어디에서 제 납부한 금액을 찾을수 있습니까. 저에게는 적어도 5,000만원의 예금법도 통해야하는게 아닙니까. 너무 억울합니다. 제발 선처를 부탁드립니다. 
"
465998,정치개혁,2018-12-11,2019-01-10,naver - ***,청원종료 ,국회 예산안을 청와대가 심사하게 해 주세요... 긜고 청와대 예산은 국회가 심사하게 해 주세요...,참여인원 : [ 8명 ],"
											소소위 존재 이유가 뭐죠? 특활비도 비밀이 너무 많은 비용이라 폐지했는데... 

											소소위도 기록도 안 남기는 비밀 심사 위원회인데 왜 폐지 안 하나요? 

											애초에 국회의원들이 스스로 예산안을 심사하는데다가 소소위라는 비밀 결사 위원회가 있으니... 

											일부러 질질 끌다가 어이없는 예산안을 서열 순으로 나눠 먹기 하는 거 아닌가요? 

											엄밀히 따지면 사전 선거 운동이나 다름 없는 무쓸모 쓰레기 명품 예산까지... 

											그러니까 어이없게도 실업 관련 예산이라든지 최하위 빈곤층 지원 예산까지도 삭감되고... 

											뜬금없이 어떤 시에 나무 심기 예산으로 천억원이나 추가되는 거 아닌가요? 

											애초에 예산안을 다른 기관에서 견제할 수 있도록 만들었어야 하는게 아닌가요? 

											국회의원 특혜도 그렇고 자기 스스로 결정하고 심사도 자기가 하고 이게 뭔 강아지 같은 경우인가요? 

											심지어 시간 넘기면 기록도 안 남기는데다 언론사도 모르는 극비 담합이라니... 

											여담이지만 국회의원 연봉 인상 논란 나오니 순순히 반납하는 걸 좋게 보는 사람들 있죠? 

											물론 알만한 사람들은 다 알겠지만 그거 돌려줘도 남는 장사라는 거... 

											애초에 국회의원 제도가 만들어진게 독재 시절이다 보니 아직도 말도 안되는 법들이 많이 남아 있지만... 

											결국 스스로 바꾸는 건 하나도 없고 여론이 들끓을 때만 조금씩 내려놓는 척하면서 연봉 2억에 육박하는... 

											변함없는 꿀 직장 유지하고 계시네요... 

											거기에 지역 예산만 잘 따내면 어마어마한 7선까지도 가능하고 연임횟수가 증가할수록 권력도 강해지는... 

											대단한 직장이네요... 

											이러니 제갈공명이 시공을 초월한 엄청난 선견지명이 있었다고 할 수밖에... 

											역시 최소한 3개 이상의 세력의 힘이 강하게 대립해야 좀 더 민주적인 국회가 될 수 있을테지요... 

											도농 복합 어쩌구 하는 건 어차피 지역간 담합의 소지가 다분하니 최소한 연동형 비례대표는 필수 불가결이네요... 

											점점 내용이 복잡해지지만 어찌 되었든 아직도 독재의 잔재가 남아 있는 국회가 문제라는 겁니다... 
"
465999,행정,2018-12-11,2019-01-10,naver - ***,청원종료 ,한번은 실수 두번은 계획 낭비되는 혈세를 막아주세요.,참여인원 : [ 169명 ],"
											우연히 네이버 기사에서 강남구 구립 행복요양병원에 관한 기사를 보고 연관 게시물들을 보다가 이재진의원님의 강남구정 감사자료까지 검색해서 보게 돼었습니다.  

											내용의 요점은 구립병원 수탁계약당시 담당공무원들이 수탁자인 참예원의료재단이 제시한 모든 수익을 강남구에 환원하겠다는 약정에 세무사항의 기재없이 계약을 체결하게돼고, 이후 수탁자인 참예원의료재단은 지난 오년간 시설운영비조차도 납부하지 않고, 재무재표를 적자로 운영하여 온 것이 문제가 된 것입니다.  

											이에 강남구청은 재반 경비를 모두 혈세로 부담하게 돼었고 또한 이것을 바로잡고자 참예원의료재단에 25건정도의 소송을 제기하였습니다.  

											그러나 현행법은 계약내용 자체만 가지고 따져야 한다는 논점으로. 참예원의료재단의 손을 들어주어 무혐의처리를 받아 결국 낭비됀 혈세는 보존이 불가능하게 돼었습니다.  

											그러나 이저 1차수탁기간인 5년이 끝나고 재수탁심사를 해야 하는데 참예원의료재단이 일반적인 관례라면서 연장수탁의사를 밝히고 있습니다.  

											혈세가 낭비돼는 것을 알면서도 담당 공무원들은 수탁을 연장해야 할지도 모르는 딜레마에 빠져있는것 같습니다.  

											1. 대기표를 뽑고 기다려야 입원이 가능한 대형병원이 지속적인 적자를 보고있어 시설운영비조차 못내고 있다는것이 있을수 있는일 인가요? 
											2. 지속적인 누적적자인 의료재단의 규모가 수탁5년의 시간동안 강남요지에 병원을 확장했는데 이 자금은 어디에서 발생한 것 일까요? 
											3.  이미 600억 이상의 혈세를 투입하여 병원을 만들고 수탁사업자인 참예원의료재단의 시설 운엽비 사오십억을 오년간 혈세로 강남구에서 대납 하였는데 이런곳에 다시 재수탁을 승인해줘야 하는 것 일까요? 

											인터넷에서 기사를 보니 참예원 의료재단은 강남구에서 제기한 소송을 모두 무혐의 승소하였으니 정당한 수탁자라는 요지의 기사가 있어, 더 지켜볼수 없어서 청원하게 돼었습니다.  

											악법도 법이니 잘못됀 계약은 어쩔수 없다고 해도 이제 5년의 수탁기간이 끝난 지금 고칠수 있는것은 고쳐야 한다고 생각합니다.  

											소송의 승소를 빌미로 수탁기간의 연장을 주장하며 강남구 담당자들운 괴롭히고 있는 참예원의료재단에게 강남구청 관계자분들이 당당히 거부할수있는 힘을 국민 여러분의 뜻으로 실어주셨으면 합니다.  

											더이상의 혈세낭비는 막아야 합니다.  
											한번은 실수일수 있지만 두번은 계획이나 같습니다.  

											다시한번 부탁드립니다.  
											강남구립행복요양병원의 파행은 여기서 멈출수 있게 해 주세요.  

											보다 자세한 내용은 강남구 구정감사자료나 강남구 이재진의원님 관련해서 검색해보면 넘치도록 나옵니다.  저도 연관링크 따라가다보니 이만큼 알고 이만큼 화나게 됐네요.   

											감사합니다.  

											아래 첨부링크는 제 개인적인 판단에 분류했습니다.  
											이재진의원 인터뷰기사 
											참예원의료재단 후호적인 기사 
											중립적인 기사 입니다 
"
466000,교통/건축/국토,2018-12-11,2019-01-10,naver - ***,청원종료 ,성균관대역에 급행열차가 멈추게 해주세요.,참여인원 : [ 11명 ],"
											성균관대역에 급행열차가 멈춰야 한다고 생각합니다. 
"
